,wlobscd,agcnm,obsnm,addr,etcaddr,lon,lat,gdt,attwl,wrnwl,almwl,srswl,pfh,fstnyn,links
41,1003605,환경부,영월군(충혼교),강원도 영월군 중동면,녹전리 충혼교,128-40-51,37-08-32 ,269.682,3,4,5,6.1,6.07,N,[]
42,1003620,환경부,영월군(옥동교),강원도 영월군,김삿갓면 옥동리 옥동교,128-33-51,37-07-20 ,183.969,4,4.5,5.5,6.9,6.91,N,[]
43,1003630,한국수자원공사,단양군(오사리),충청북도 단양군,영춘면 오사리,128-30-39,37-05-55 ,159.971, , , , , ,N,[]
44,1003632,한국수자원공사,단양군(북벽교),충청북도 단양군 영춘면,상리 517-2 북벽교,128-29-07,37-05-08 ,155.72, , , , , ,N,[]
45,1003635,한국수자원공사,가대교,충청북도 단양군 가곡면,가대리 154-1 도,128-24-29,37-02-10 , , , , , , ,N,[]
46,1003636,환경부,단양군(가대교),충청북도 단양군 가곡면,가대리 가대교,128-24-20,37-02-25 ,139.454,5,8.5,11,13.7,13.71,N,[]
47,1003640,환경부,단양2,충청북도 단양군 가곡면,사평리 ,128-23-00,37-01-00 ,137.12, , , , , ,N,[]
48,1003642,환경부,단양군(덕천교),충청북도 단양군,가곡면 덕천리 덕천교,128-23-21,37-00-20 ,135.027,9,10,13,16.1,16.07,N,[]
49,1003644,한국수자원공사,상진교,충청북도 단양군 단양읍,상진리 산22-23 도,128-20-51,36-58-40 , , , , , , ,N,[]
50,1003645,환경부,단양군(단양1교),충청북도 단양군 단성면,북하리 단양1교,128-20-08,36-55-52 ,140.903,2.5, , ,5.8,5.78,N,[]
51,1003646,한국수자원공사,우화교,충청북도 단양군 단성면,상방리 71-7 전,128-19-16,36-55-50 , , , , , , ,N,[]
52,1003650,환경부,단양1,충청북도 단양군 단양읍,외중만리 ,128-17-00,36-55-00 ,112.709, , , , , ,N,[]
53,1003655,한국수자원공사,제천시(물태리),충청북도 제천시,청풍면 물태리,128-09-57,36-59-38 , , , , , , ,N,[]
55,1003658,환경부,제천시(부수동교),충청북도 제천시 백운면,방학리 부수동교,128-00-32,37-08-55 ,219.627,2.5,3.5,4,5,4.97,N,[]
56,1003660,환경부,제천시(팔송교),충청북도 제천시 봉양읍,팔송리 팔송교,128-07-11,37-08-50 ,214.71,3,3.5,4,4.7,4.69,N,[]
57,1003661,환경부,제천시(구곡교),충청북도 제천시 봉양읍,구곡리 구곡교,128-06-22,37-06-44 ,185.267,3.5,4.5,5.5,6.5,6.5,N,[]
58,1003662,한국수자원공사,명서교,충청북도 충주시 산척면,명서리 484-3,128-01-57,37-04-04 , , , , , , ,N,[]
59,1003664,한국수자원공사,충주본댐우안,충청북도 충주시,동량면 조동리 산 180-4,127-59-47,37-00-13 , , , , , , ,N,[]
60,1003665,한국수자원공사,충주시(충주댐방수로),충청북도 충주시,동량면 조동리 산 180-4(충주댐 방수로 지점),127-59-20,37-00-29 , , , , , , ,N,[]
61,1003666,한국수자원공사,충주시(충주댐),충청북도 충주시,동량면 조동리 산 180-4,127-59-31,37-00-20 , , , , , , ,N,[]
62,1003668,한국수자원공사,월악,충청북도 제천시,한수면 탄지리 74-6,128-04-22,36-54-41 , , , , , , ,N,[]
63,1003670,환경부,충주2,충청북도 충주시 동량면,응교리 ,127-58-00,37-00-00 ,62.031, , , , , ,N,[]
64,1003680,환경부,충주1,충청북도 충주시 금가면,문산리 ,127-55-00,37-00-00 ,221, , , , , ,N,[]
65,1004620,환경부,청주시(옥화1교),충청북도 청주시 상당구,미원면 옥화리 옥화1교,127-42-06,36-36-55 ,198.602,2,5,6,7.3,7.3,N,[]
66,1004630,한국수력원자력,고성교,충청북도 괴산군,청천면 고성리,127-45-48,36-39-58 ,156.975, , , , , ,N,[]
67,1004635,한국수력원자력,후영교,충청북도 괴산군,청천면 후영리 후영교,127-48-52,36-42-05 , , , , , , ,N,[]
68,1004643,한국수력원자력,괴산댐,충청북도 괴산군,칠성면 산막이옛길 43,127-50-34,36-45-32 , , , , , , ,N,[]
69,1004645,환경부,괴산군(수전교),충청북도 괴산군,칠성면 외사리 수전교,127-50-33,36-46-02 ,110.221,2,4,5.5,6.7,6.68,N,[]
70,1004646,환경부,괴산군(비도교),충청북도 괴산군,칠성면 비도리 비도교,127-52-41,36-47-24 ,118.175,2,3,3.5,4.4,4.38,N,[]
71,1004653,한국농어촌공사,소수,충청북도 괴산군 소수면,길선리 180-5,127-43-08,36-52-11 , , , , , , ,N,[]
72,1004661,환경부,괴산군(제2괴산교),충청북도 괴산군 괴산읍,동부리 751-1번지,127-47-57,36-48-33 ,105.05, , , , , ,N,[]
73,1004670,환경부,괴산군(추산교),충청북도 괴산군,불정면 추산리 추산교,127-48-51,36-53-37 ,95.281,3.5,4.5,5.5,6.8,6.8,N,[]
74,1004680,환경부,충주시(문강교),충청북도 충주시 살미면,문강리 문강교,127-56-46,36-53-16 ,98.733,2,3,3.5,3.9,3.91,N,[]
75,1004685,한국수자원공사,팔봉교,충청북도 충주시 살미면,토계리 팔봉교,127-55-17,36-53-57 , , , , , , ,N,[]
76,1004688,한국농어촌공사,원남,충청북도 진천군 초평면,신통리 501-5,127-42-38,36-51-18 , , , , , , ,N,[]
77,1004690,한국수자원공사,충주시(향산리),충청북도 충주시,살미면 향산리 25,127-55-28,36-55-30 ,71.187, , , , , ,N,[]
78,1004692,한국농어촌공사,용당,충청북도 충주시 신니면,문승리 301-2,127-42-18,37-00-22 , , , , , , ,N,[]
79,1004693,환경부,괴산군(목도교),충청북도 괴산군,불정면 목도리 목도교,127-51-19,36-52-12 ,87.793,2,3.5,4.5,5.9,5.87,Y,[]
80,1004695,환경부,충주시(국원대교),충청북도 충주시,대소원면 검단리 국원대교,127-52-18,36-57-58 ,63.819,4,5,6,8.1,8.05,N,[]
81,1005605,환경부,충주시(탄금교),충청북도 충주시,중앙탑면 창동리 탄금교,127-53-24,36-59-19 ,62.702,3,4.5,6,7,7.04,N,[]
